Incident_ID,Civilian_Officer,ORI,Gender,Race_Ethnic_Group,Asian_Race,Age,Injured,Injury_Level,Injury_Type,Medical_Aid,Injury_From_Preexisting_Condition,Received_Force_Location,Order_Of_Force_Specified,Order_Of_Force_Str,Received_Force,Received_Force_Type,DISCHARGE_OF_FIREARM_INDIVIDUAL,DISCHARGE_OF_FIREARM_INCIDENT,CIVILIAN_Mental_Status,CIVILIAN_Assaulted_Officer,CIVILIAN_Highest_Charge,CIVILIAN_Crime_Qualifier,CIVILIAN_Perceived_Armed,CIVILIAN_Perceived_Armed_Weapon,CIVILIAN_Firearm_Type,CIVILIAN_Resisted,CIVILIAN_Resistance_Type,CIVILIAN_Custody_Status,CIVILIAN_Confirmed_Armed,CIVILIAN_Confirmed_Armed_Weapon,CIVILIAN_K12_Type,OFFICER_Officer_Used_Force,OFFICER_Officer_Used_Force_Reason,OFFICER_On_Duty,OFFICER_Dress
URSUS-01-0500-2016-JDM,Civilian,CA0010500,Male,Hispanic,,41-45,TRUE,Death,"Bone fracture, Gunshot wound",No medical assistance or refused assistance,FALSE,"Rear upper torso/back, Rear lower torso/back, Arms/hands",FALSE,,TRUE,"Discharge of firearm (miss), Discharge of firearm (hit)",TRUE,TRUE,None,TRUE,,,TRUE,Firearm,Handgun,TRUE,Life-threatening,Deceased,TRUE,Firearm,,,,,
URSUS-01-0500-2016-JDM,Officer,CA0010500,Male,Hispanic,,26-30,TRUE,Serious bodily injury,"Unconscious, Bone fracture, Internal injury, Gunshot wound",Admitted to hospital - critical injuries,FALSE,Head,,,TRUE,"Civilian vehicle contact, Discharge of firearm (hit)",TRUE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0500-2016-JDM,Officer,CA0010500,Male,"Black, White",,31-35,FALSE,,,,,(Not applicable),,,TRUE,Discharge of firearm (miss),TRUE,TRUE,,,,,,,,,,,,,,FALSE,,TRUE,Tactical
URSUS-01-0500-2016-JDM,Officer,CA0010500,Male,White,,36-40,FALSE,,,,,(Not applicable),,,TRUE,Discharge of firearm (miss),TRUE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Tactical
URSUS-01-0500-2016-JDM,Officer,CA0010500,Male,White,,31-35,TRUE,Serious bodily injury,"Internal injury, Gunshot wound",Admitted to hospital - critical injuries,FALSE,Front upper torso/chest,,,TRUE,"Discharge of firearm (miss), Discharge of firearm (hit)",TRUE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Plainclothes
URSUS-01-0500-2016-XHE,Civilian,CA0010500,Male,White,,26-30,TRUE,Serious bodily injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Rear upper torso/back, Arms/hands",TRUE,"K-9 contact -> Other physical contact (Use of hands, fists, feet, etc)",TRUE,"Other physical contact (Use of hands, fists, feet, etc), K-9 contact",FALSE,FALSE,None,FALSE,166(A)(4) PC CONTEMPT:DISOBEY CRT ORDR (MISDEMEANOR),,TRUE,Other dangerous weapon,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-01-0500-2016-XHE,Officer,CA0010500,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0600-2016-AKU,Civilian,CA0010600,Male,Hispanic,,21-25,FALSE,,,,,(Not applicable),,,TRUE,Discharge of firearm (miss),TRUE,TRUE,None,TRUE,245(A)(1) PC ADW NOT FIREARM (FELONY),,TRUE,Other dangerous weapon,,TRUE,Life-threatening,In custody (other),TRUE,Other dangerous weapon,,,,,
URSUS-01-0600-2016-AKU,Officer,CA0010600,Male,White,,36-40,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0600-2016-AKU,Officer,CA0010600,Male,White,,31-35,TRUE,Injury,Abrasion/Laceration,No medical assistance or refused assistance,,Front legs/feet,,,TRUE,Civilian vehicle contact,FALSE,TRUE,,,,,,,,,,,,,,FALSE,,TRUE,Patrol Uniform
URSUS-01-0600-2016-AKU,Officer,CA0010600,Male,White,,36-40,TRUE,Injury,"Contusion, Abrasion/Laceration",Medical assistance - treated on scene,FALSE,(Not applicable),,,TRUE,Civilian vehicle contact,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0600-2016-AKU,Officer,CA0010600,Male,White,,41-45,FALSE,,,,,(Not applicable),,,TRUE,Civilian vehicle contact,FALSE,TRUE,,,,,,,,,,,,,,FALSE,,TRUE,Patrol Uniform
URSUS-01-0600-2016-PTD,Civilian,CA0010600,Male,Hispanic,,26-30,TRUE,Serious bodily injury,Abrasion/Laceration,Admitted to hospital - other circumstance,FALSE,Arms/hands,,,TRUE,K-9 contact,FALSE,FALSE,None,FALSE,273.5(A) PC CRPL INJ:SPOUS/COHAB/DATE (FELONY),,TRUE,Other dangerous weapon,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-01-0600-2016-PTD,Officer,CA0010600,Female,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-01-0600-2016-XKU,Civilian,CA0010600,Male,Hispanic,,51-55,TRUE,Serious bodily injury,Gunshot wound,Admitted to hospital - critical injuries,FALSE,"Front upper torso/chest, Front lower torso/abdomen, Front legs/feet",,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,TRUE,245(A)(1) PC ADW NOT FIREARM (FELONY),,TRUE,Other dangerous weapon,,TRUE,Life-threatening,In custody (other),TRUE,Other dangerous weapon,,,,,
URSUS-01-0600-2016-XKU,Officer,CA0010600,Female,White,,26-30,TRUE,Injury,Internal injury,No medical assistance or refused assistance,,(Not applicable),,,TRUE,Civilian vehicle contact,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0600-2016-XKU,Officer,CA0010600,Male,Black,,31-35,FALSE,,,,,(Not applicable),,,TRUE,Civilian vehicle contact,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0800-2016-DTE,Civilian,CA0010800,Male,White,,61-65,TRUE,Death,Gunshot wound,Medical assistance - treated on scene,FALSE,Front upper torso/chest,FALSE,,TRUE,"Discharge of firearm (hit), K-9 contact",TRUE,TRUE,"Signs of mental disability, Signs of alcohol impairment",TRUE,,,TRUE,Firearm,Handgun,TRUE,,Deceased,TRUE,Firearm,,,,,
URSUS-01-0800-2016-DTE,Officer,CA0010800,Male,White,,41-45,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-01-0800-2016-DTE,Officer,CA0010800,Male,White,,46-50,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-01-0800-2016-YZT,Civilian,CA0010800,Male,Hispanic,,21-25,TRUE,Death,Gunshot wound,Medical assistance - treated on scene,FALSE,Rear upper torso/back,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,TRUE,,,TRUE,Firearm,,TRUE,Life-threatening,Deceased,TRUE,Firearm replica,,,,,
URSUS-01-0800-2016-YZT,Officer,CA0010800,Male,Black,,26-30,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-1300-2016-HVM,Civilian,CA0011300,Male,White,,26-30,FALSE,,,,,"Front upper torso/chest, Arms/hands",,,TRUE,Discharge of firearm (hit),TRUE,TRUE,Signs of drug impairment,TRUE,,,TRUE,Other dangerous weapon,,TRUE,Life-threatening,Deceased,TRUE,Other dangerous weapon,,,,,
URSUS-01-1300-2016-HVM,Officer,CA0011300,Male,Hispanic,,31-35,FALSE,,,,,(Not applicable),,,TRUE,Other dangerous weapon,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-01-1300-2016-HVM,Officer,CA0011300,Male,Hispanic,,36-40,FALSE,,,,,(Not applicable),,,TRUE,Other dangerous weapon,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-01-1400-2016-NSE,Civilian,CA0011400,Male,Other,,18-20,FALSE,,,,,,,,FALSE,,FALSE,FALSE,None,TRUE,245(A)(1) PC ADW NOT FIREARM (FELONY),,FALSE,,,FALSE,,In custody (other),FALSE,,,,,,
URSUS-01-1400-2016-NSE,Officer,CA0011400,Male,White,,36-40,TRUE,Serious bodily injury,Contusion,Medical assistance - treated on scene,FALSE,"Arms/hands, Front legs/feet",,,TRUE,Civilian vehicle contact,FALSE,FALSE,,,,,,,,,,,,,,FALSE,,TRUE,Patrol Uniform
URSUS-01-2100-2016-EDX,Civilian,CA0012100,Male,Hispanic,,46-50,TRUE,Serious bodily injury,Unconscious,Admitted to hospital - precautionary measure only,FALSE,"Head, Arms/hands",,,TRUE,Other control hold/takedown,FALSE,FALSE,Signs of alcohol impairment,TRUE,,,FALSE,,,TRUE,Assaultive,None of these,FALSE,,,,,,
URSUS-01-2100-2016-EDX,Officer,CA0012100,Male,White,,31-35,FALSE,,,,,Head,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-04-0200-2016-DTH,Civilian,CA0040200,Male,White,,46-50,TRUE,Serious bodily injury,Bone fracture,Admitted to hospital - other circumstance,FALSE,"Front upper torso/chest, Front legs/feet",FALSE,,TRUE,"Other control hold/takedown, Blunt / impact weapon, Electronic control device",FALSE,FALSE,Signs of drug impairment,FALSE,148(A)(1) PC OBSTRUCT/ETC PUB OFCR/ETC (MISDEMEANOR),11550(A) H&S,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-04-0200-2016-DTH,Officer,CA0040200,Male,Hispanic,,21-25,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-04-0200-2016-DTH,Officer,CA0040200,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-04-0200-2016-YTS,Civilian,CA0040200,Male,White,,51-55,TRUE,Serious bodily injury,Bone fracture,Admitted to hospital - other circumstance,FALSE,Arms/hands,,,TRUE,Other control hold/takedown,FALSE,FALSE,None,FALSE,148(A)(1) PC OBSTRUCT/ETC PUB OFCR/ETC (MISDEMEANOR),602 PC Trespass,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-04-0200-2016-YTS,Officer,CA0040200,Female,White,,46-50,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-04-0500-2016-CWM,Civilian,CA0040500,Male,White,,26-30,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Rear upper torso/back, Arms/hands, Rear legs",FALSE,,TRUE,"Other control hold/takedown, Other physical contact (Use of hands, fists, feet, etc), Electronic control device",FALSE,FALSE,None,TRUE,69 PC OBSTRUCT/RESIST EXEC OFF (FELONY),,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-04-0500-2016-CWM,Officer,CA0040500,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-04-0500-2016-CWM,Officer,CA0040500,Male,White,,31-35,TRUE,Injury,Internal injury,Medical assistance - treated at facility and released,FALSE,Front upper torso/chest,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-04-0500-2016-CWM,Officer,CA0040500,Male,White,,31-35,TRUE,Serious bodily injury,Internal injury,Medical assistance - treated at facility and released,FALSE,Front legs/feet,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-04-0500-2016-CYR,Civilian,CA0040500,Male,White,,36-40,TRUE,Serious bodily injury,Abrasion/Laceration,Admitted to hospital - other circumstance,FALSE,"Head, Rear lower torso/back, Arms/hands",,,TRUE,K-9 contact,FALSE,FALSE,Signs of drug impairment,FALSE,2800.2 VC EVADING PO:DISREGARD SFTY (FELONY) EVD,,TRUE,Firearm,Handgun,TRUE,Active resistance,In custody (other),TRUE,Firearm,,,,,
URSUS-04-0500-2016-CYR,Officer,CA0040500,Male,Hispanic,,36-40,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape",TRUE,Patrol Uniform
URSUS-05-0000-2016-HUR,Civilian,CA0050000,Female,Other,,31-35,FALSE,,,,,(Not applicable),,,TRUE,Discharge of firearm (miss),TRUE,TRUE,"Signs of mental disability, Signs of drug impairment",TRUE,245(C) PC ADW NOT F/ARM:PO/FIRE:GBI (FELONY) ADW,245(C) PC ,TRUE,"Knife, blade, or stabbing instrument",,TRUE,Active resistance,In custody (other),TRUE,"Knife, blade, or stabbing instrument",,,,,
URSUS-05-0000-2016-HUR,Officer,CA0050000,Male,White,,41-45,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-05-0000-2016-HUR,Officer,CA0050000,Male,White,,26-30,FALSE,,,,,Front upper torso/chest,,,TRUE,"Knife, blade, or stabbing instrument",FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-05-0000-2016-WMV,Civilian,CA0050000,Male,White,,21-25,TRUE,Serious bodily injury,Unconscious,Medical assistance - treated at facility and released,FALSE,Neck/throat,,,TRUE,Carotid restraint control hold,FALSE,FALSE,"Signs of mental disability, Signs of drug impairment",TRUE,241/243 PC ASLT/BATT PEACE OFR/ETC (MISDEMEANOR),243(c)(2) PC,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-05-0000-2016-WMV,Officer,CA0050000,Male,White,,31-35,TRUE,Injury,"Contusion, Abrasion/Laceration",Medical assistance - treated at facility and released,FALSE,Head,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-07-0000-2016-BNX,Civilian,CA0070000,Male,Hispanic,,41-45,TRUE,Injury,Contusion,Admitted to hospital - precautionary measure only,FALSE,"Head, Front upper torso/chest",,,TRUE,"Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,None,TRUE,69 PC OBSTRUCT/RESIST EXEC OFF (FELONY),,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-07-0000-2016-BNX,Officer,CA0070000,Male,Asian / Pacific Islander,Other Asian,31-35,TRUE,Serious bodily injury,Contusion,Admitted to hospital - precautionary measure only,FALSE,"Front legs/feet, Rear legs",,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Utility
URSUS-07-0000-2016-BNX,Officer,CA0070000,Male,Hispanic,,36-40,FALSE,,,,,Front upper torso/chest,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Utility
URSUS-07-0000-2016-ENW,Civilian,CA0070000,Male,White,,36-40,TRUE,Serious bodily injury,Bone fracture,Admitted to hospital - precautionary measure only,FALSE,"Head, Front upper torso/chest",FALSE,,TRUE,"Other physical contact (Use of hands, fists, feet, etc), Electronic control device",FALSE,FALSE,None,TRUE,10851(A) VC VEHICLE THEFT (FELONY),,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-07-0000-2016-ENW,Officer,CA0070000,Female,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,FALSE,,TRUE,Patrol Uniform
URSUS-07-0000-2016-ENW,Officer,CA0070000,Male,White,,26-30,FALSE,,,,,Front upper torso/chest,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-07-0000-2016-HDY,Civilian,CA0070000,Male,White,,46-50,TRUE,Death,Gunshot wound,Medical assistance - treated on scene,FALSE,"Front legs/feet, Arms/hands, Front upper torso/chest",,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,FALSE,,,TRUE,Firearm,Handgun,TRUE,Passive non-compliance,Deceased,TRUE,Firearm,,,,,
URSUS-07-0000-2016-HDY,Officer,CA0070000,Male,"American Indian, White",,36-40,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Tactical
URSUS-07-0000-2016-HDY,Officer,CA0070000,Male,White,,36-40,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Tactical
URSUS-07-0000-2016-HDY,Officer,CA0070000,Male,White,,41-45,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Tactical
URSUS-07-0000-2016-UQE,Civilian,CA0070000,Male,Black,,31-35,TRUE,Serious bodily injury,Abrasion/Laceration,Admitted to hospital - critical injuries,FALSE,"Arms/hands, Rear legs",,,TRUE,K-9 contact,FALSE,FALSE,None,FALSE,29800(A)(1) PC FELON/ETC POSS/ETC F/ARM (FELONY),,TRUE,Firearm,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-07-0000-2016-UQE,Officer,CA0070000,Male,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
